URSI,avg_degree,max_degree,std_degree,avg_strength,max_strength,total_strength,std_strength,density,avg_edge_weight,clustering_coef,transitivity,avg_betweenness,avg_eigenvector
M87155496,27.542857142857144,56,11.224572170384189,31240.414285714287,133596.0,2186829.0,31507.531216018295,0.3991718426501035,1134.247406639004,0.035162337957896084,0.654965496549655,0.04635083018714733,0.07134916474195557
M87139257,30.37142857142857,58,12.685392531312122,31599.8,134079.0,2211986.0,27877.357554294846,0.4401656314699793,1040.444967074318,0.03216265890620029,0.6825582026374342,0.04380734419371614,0.07793255725407644
M87141906,28.37142857142857,60,11.391941297716217,31011.1,138364.0,2170777.0,31278.02544274723,0.4111801242236025,1093.039778449144,0.03848206465422664,0.6689048609797617,0.05212012341168352,0.07148154934084286
M87158338,29.228571428571428,58,11.746332471482845,34006.92857142857,165024.0,2380485.0,32707.46341567556,0.4236024844720497,1163.4824046920821,0.03647260213341029,0.6667161123802178,0.04991515446758413,0.07574965119186206
M87149025,27.285714285714285,56,12.119810061150602,28133.557142857142,123282.5,1969349.0,28141.687778675412,0.39544513457556935,1031.07277486911,0.03689175565332454,0.6535841819865097,0.04710104331587708,0.0720338963807535
M87103074,30.17142857142857,63,12.5139595521749,42486.857142857145,203669.5,2974080.0,42915.1135192772,0.4372670807453416,1408.1818181818182,0.03295684881017509,0.686876481287549,0.0475973287865871,0.0733541245653147
M87141664,26.428571428571427,60,10.989048351584835,30002.52857142857,139123.5,2100177.0,28570.115098008784,0.3830227743271222,1135.230810810811,0.03864708782231743,0.643289606458123,0.05046736085738642,0.08132421894721736
M87148745,26.514285714285716,58,11.173620537604064,31061.071428571428,152453.0,2174275.0,29717.65956383579,0.38426501035196686,1171.484375,0.035659750852618376,0.6417798695047598,0.053472983396257064,0.07257325731598531
M87141949,26.8,56,11.372397661506064,31786.77142857143,161710.0,2225074.0,35112.22187040186,0.3884057971014493,1186.0735607675906,0.028853573420223367,0.646012462143628,0.05220537490358463,0.06644597774746396
M87179713,25.8,50,11.118324642550373,24126.014285714286,113223.0,1688821.0,22608.230866366765,0.3739130434782609,935.1168327796235,0.03574539695598753,0.6421915347479511,0.05344634955431447,0.07787666825633706
M87176708,28.62857142857143,54,10.599422394736461,35849.28571428572,133117.5,2509450.0,31860.8214210731,0.41490683229813663,1252.2205588822355,0.031995881323936305,0.647710020242915,0.051178297405918886,0.07780538725343736
M87129789,27.114285714285714,56,11.224390352064125,31520.957142857143,148527.0,2206467.0,31259.762182481594,0.3929606625258799,1162.522128556375,0.03340561866565049,0.6454850644012058,0.05271586895627817,0.0714670252919231
M87123042,30.085714285714285,59,13.431033208998647,41336.97142857143,198017.5,2893588.0,41660.30380957785,0.4360248447204969,1373.9734093067427,0.03246630221175628,0.6964619257735307,0.052201315308732184,0.07275381630829784
M87196363,29.8,57,11.56423056547337,39276.45714285714,188427.0,2749352.0,38204.46822687319,0.4318840579710145,1318.0019175455418,0.02819660590310749,0.6717359370949624,0.04839240043843624,0.07297589573194925
M87178630,32.05714285714286,59,13.78289386396435,38703.25714285715,180031.5,2709228.0,36137.66281563785,0.4645962732919255,1207.3208556149732,0.03501702819445387,0.7052656946620075,0.04963259216730171,0.07776101999741038
M87136332,32.371428571428574,62,12.908658698244178,31643.97142857143,144150.5,2215078.0,29919.160562002704,0.4691511387163561,977.5278022947925,0.030409504452170236,0.6820620649651972,0.04286537803527208,0.07587791061774456
M87158534,27.142857142857142,54,11.869872684701399,28833.257142857143,135510.0,2018328.0,27381.5600516561,0.39337474120082816,1062.2778947368422,0.03326609535060236,0.6552894144522458,0.04817927170868347,0.07727463288156942
M87166115,32.82857142857143,61,13.162686903919438,37050.885714285716,143464.0,2593562.0,36860.919937571845,0.47577639751552797,1128.6170583115752,0.030818364198644817,0.7173683593291896,0.045979986197377504,0.0715659562352013
M87176019,29.228571428571428,56,11.369346543065987,36370.9,149641.0,2545963.0,32713.445598932034,0.4236024844720497,1244.36119257087,0.03886183050382541,0.6490928686904975,0.049628750050744935,0.07895687260262328
M87111487,25.914285714285715,55,10.616352423290694,40308.7,191665.5,2821609.0,41963.50257284809,0.3755693581780538,1555.462513781698,0.041028254469708814,0.6574862482103836,0.04745564892623715,0.07038147738675565
